"preprint_date","pathogen","title","repo","link","pmid","journal","publisher","pub_type","new_data","new_analysis"
2014-08-15,"ebola","Estimating the reproduction number of Ebola virus (EBOV) during the 2014 outbreak in West Africa","arxiv","http://arxiv.org/abs/1408.3505v4","25642364","PLoS Curr","PLOS","Journal Article",0,1
2014-09-16,"ebola","Modeling the Impact of Interventions on an Epidemic of Ebola in Sierra Leone and Liberia","arxiv","http://arxiv.org/abs/1409.4607v2","25685630","PLoS Curr","PLOS","Journal Article",0,1
2014-09-26,"ebola","Filovirus Glycoprotein Sequence, Structure and Virulence","arxiv","http://arxiv.org/abs/1410.1417v1",NA,NA,NA,NA,NA,NA
2014-10-14,"ebola","A Model of the 2014 Ebola Epidemic in West Africa with Contact Tracing","arxiv","http://arxiv.org/abs/1410.3817v2","25685636","PLoS Curr","PLOS","Journal Article",0,1
2014-10-14,"ebola","Guiding Ebola Patients to Suitable Health Facilities: An SMS-based Approach","arxiv","http://arxiv.org/abs/1410.3576v1","25789162","F1000Res","F1000","Journal Article",0,0
2014-10-20,"ebola","Description of the Early Growth Dynamics of 2014 West Africa Ebola Epidemic","arxiv","http://arxiv.org/abs/1410.5409v1","25685614","PLoS Curr","PLOS","Journal Article",0,1
2014-10-22,"ebola","Be-CoDiS: A mathematical model to predict the risk of human diseases spread between countries. Validation and application to the 2014-15 Ebola Virus Disease epidemic","arxiv","http://arxiv.org/abs/1410.6153v5","26449916","Bull Math Biol",NA,"Journal Article",0,1
2014-10-30,"ebola","The Potential Impact of Increased Hospital Capacity to Contain and Control Ebola in Liberia","arxiv","http://arxiv.org/abs/1410.8207v1",NA,NA,NA,NA,NA,NA
2014-10-30,"ebola","Ebola cases and health system demand in Liberia","arxiv","http://arxiv.org/abs/1410.8564v1","25585384","PLoS Biol","PLOS","Journal Article",0,1
2014-11-04,"ebola","Correlating the ability of VP24 protein from Ebola and Marburg viruses to bind human karyopherin to their immune suppression mechanism and pathogenicity using computational methods","F1000Res","http://dx.doi.org/10.12688/f1000research.5666.1",NA,"F1000Res","F1000",NA,NA,NA
2014-11-06,"ebola","Why are public health authorities not concerned about Ebola in the US? Part I. Fat tailed distributions","arxiv","http://arxiv.org/abs/1411.1472v1",NA,NA,NA,NA,NA,NA
2014-11-06,"ebola","Epidemiological and evolutionary analysis of the 2014 Ebola virus outbreak","arxiv","http://arxiv.org/abs/1411.1722v1",NA,NA,NA,NA,NA,NA
2014-11-06,"ebola","Epidemiological and evolutionary analysis of the 2014 Ebola virus outbreak","biorxiv","http://dx.doi.org/10.1101/011171",NA,NA,NA,NA,NA,NA
2014-11-11,"ebola","Viral Misinformation: The Role of Homophily and Polarization","arxiv","http://arxiv.org/abs/1411.2893v1",NA,NA,NA,NA,NA,NA
2014-11-13,"ebola","Post-death Transmission of Ebola: Challenges for Inference and Opportunities for Control","arxiv","http://arxiv.org/abs/1411.3435v1","25736239","Sci Rep","Springer Nature","Journal Article",0,1
2014-11-14,"ebola","Increased evolutionary rate in the 2014 West African Ebola outbreak is due to transient polymorphism and not positive selection","biorxiv","http://dx.doi.org/10.1101/011429",NA,NA,NA,NA,NA,NA
2014-11-17,"ebola","Similarity Is Not Enough: Tipping Points of Ebola Zaire Mortalities","arxiv","http://arxiv.org/abs/1503.01096v1",NA,NA,NA,NA,NA,NA
2014-11-26,"ebola","The Western Africa Ebola virus disease epidemic exhibits both global exponential and local polynomial growth rates","arxiv","http://arxiv.org/abs/1411.7364v3","25685633","PLoS Curr","PLOS","Journal Article",0,1
2014-12-01,"ebola","Multi-scale Population and Mobility Estimation with Geo-tagged Tweets","arxiv","http://arxiv.org/abs/1412.0327v1",NA,NA,NA,NA,NA,NA
2014-12-02,"ebola","Avoidable errors in the modeling of outbreaks of emerging pathogens, with special reference to Ebola","arxiv","http://arxiv.org/abs/1412.0968v5","25833863","Proc Biol Sci",NA,"Journal Article",0,1
2014-12-04,"ebola","Dynamics of Ebola epidemics in West Africa 2014","arxiv","http://arxiv.org/abs/1412.1579v2","26834975","F1000Res","F1000","Journal Article",0,1
2014-12-29,"ebola","High-resolution genomic surveillance of 2014 ebolavirus using shared subclonal variants","biorxiv","http://dx.doi.org/10.1101/013318","25737802",NA,NA,"Journal Article",0,1
2014-12-31,"ebola","Sample NLPDE and NLODE Social-Media Modeling of Information Transmission for Infectious Diseases:Case Study Ebola","arxiv","http://arxiv.org/abs/1501.00198v1",NA,NA,NA,NA,NA,NA
2015-01-08,"ebola","A model selection approach for multiple sequence segmentation and dimensionality reduction","arxiv","http://arxiv.org/abs/1501.01756v1",NA,NA,NA,NA,NA,NA
2015-01-12,"ebola","The Global Virus Network's testimony on Ebola to the U.S. Senate.","F1000Res","http://dx.doi.org/10.12688/f1000research.5954.1","25580240","F1000Res","F1000","Journal Article",0,0
